Ref;x;y;altitud;Tramo;Cuenca;River;Plot;Aporcelaimellus_sp;Aporcelaimellus_cf_amylovorus;Aporcelaimellus_obtusicaudatus;Aporcelaimellus_macrop;Basirotyleptus_cf_ethiopicus;Chitwoodiellus_parafuscus;Chrysonema_limigenus;Clavicaudoides_clavicaudatus;Diphtherophora_cf_obesa;Dorylaimellus_sp;Dorylaimoides_limnophilus;Dorylaimus_asymphydorus;Dorylaimus_stagnalis;Dorylaimus_largo;Doryllium_gracile;Enchodelus_morgensis;Enchodelus_saxifragae;Enchodorus_sp;Epidorylaimus_consobrinus;Eudorylaimus_bombilectus;Eudorylaimus_subdigitalis;Laimydorus_pseudostagnalis;Longidorella_cf_tredecima;Longidorus_sp;Mesodorylaimus_aberrans;Mesodorylaimus_cf_aegypticus;Mesodorylaimus_cf_litoralis;Mesodorylaimus_ibericus;Mesodorylaimus_ornativulvatus;Mesodorylaimus_potus;Mesodorylaimus_cf_procerus;Mesodorylaimus_recurvus;Mesodorylaimus_sp;Nygolaimus_similis;Oxydirus_cf_loofi;Oxydirus_oxycephaloides;Oxydirus_cf_thornei;Paractinolaimus_microdentatus;Paraxonchium_carmenae;Prodorylaimus_acris;Prodorylaimus_filiarum;Crassolabium;Thornia_steatopyga;Tylencholaimus_constrictus;Tylencholaimus_proximus;Tylencholaimellus_striatus;Xiphinema_pachtaicum;Xiphinema_cf_turcicum;Acrobeles_complexus;Acrobeloides_buetschlii;Acrobeloides_setosus;Acrostichus_nudicapitatus;Cephalobus_persegnis;Chiloplacus_trilineatus;Eucephalobus_mucronatus;Mesorhabditis_sp;Mononchoides_ruffoi;Panagrolaimus_rigidus;Paroigolaimella_bernensis;Pelodera_cf_punctata;Propanagrolaimus_filiformis;Propanagrolaimus_hygrophilus;Pseudacrobeles_eurystoma;Pseudacrobeles_unguicolis;Rhabditis_sp;Stegelletina_devimucronata;clarkus_papillatus;Clarkus;Mylonchulus_sigmaturus;Mononchus_aquaticus;Mononchus_truncatus;Prionchulus_muscorum;Eumonhystera_vulgaris;Eumonhystera_pseudobulbosa;Monhystera_paludicola;Monhystera_stagnalis;Aphelenchoides_sp;Aphanolaimus_cf_aquaticus;Chronogaster_subtilis;Plectus_acuminatus;Plectus_exinocaudatus;Plectus_parietinus;Plectus_rhizophilus;Plectus_sp;Plectus_tenuis;Criconematidae;Hemicycliophora_sp;Tylenchida;Alaimus_primitivus;Ironus_sp;Ironus_tenuicaudatus;Paramphidelus_sp;Diphtherophora_cf_obesa;Prismatolaimus_intermedius;Neotobrilus_diversipapillatus;Tobrilus_sp;Tobrilus_pellucidus;Achromadora_ruricola;Achromadora_terricola;Udonchus_cf_tenuicaudatus;Mermithida;ABUNDANCIA;ABUNDANCIA POR PLACA;Riq.es botanica;UTM x;UTM y;altitud;TraMo;Cuenca;Temperatura;SpCond;DO Conc;pH;pHmV;ORP;Cond;DO %;Resistivity;Salinity;TDS;Nitratos;Fosfatos;Amonio;% Arena;% Limo;% Arcilla;Textura;materia_organica;Agr_sto;Aln_glu;Ant_aris;Ant_cau;Api_gra;Api_nod;Aru_don;Ast_squ;Bra_pho;Cal_bru;Cal_sep;Cer_glo;Cha_sp;Cha_vul;Chi_pol;Cir_pyr;Con_mac;Cra_mon;Cyn_acu;Cyn_dact;Cyp_lon;Ely_rep;Epi_hir;Epi_par;Equ_ram;Eup_cha;Flu_tin;Fra_ang;Gal_apa;Ger_pur;Ger_rot;Gly_dec;Gly_pli;Hol_lan;Hyp_cap;Hyp_und;Iri_pse;Jun_acu;Jun_art;Jun_eff;Jun_het;Jun_inf;Lin_bie;Lol_per;Lol_rig;Lyc_eur;Lym_sp;Lyt_sal;Med_pol;Men_lon;Men_pul;Men_spi;Men_sua;Mol_cae;Mon_amp;Mon_fon;Myr_alt;Ner_ole;Oen_cro;Pas_pas;Phr_aus;Pla_maj;Poa_ann;Poa_tri;Pol_lap;Pol_per;Pol_vir;Pop_alb;Pop_nig;Pot_pus;Pot_rep;Pul_pal;Ran_pel;Ran_rep;Ran_trip;Ror_nas;Ros_cor;Rub_ulm;Rum_con;Rum_cri;Rum_sp;Sal_atr;Sal_neo;Sal_pur;Sal_sal;Sci_hol;Sci_lac;Sci_mar;Sco_ver;Scr_aur;Son_aqu;Son_ole;Ste_med;Tam_afr;Tam_can;Tam_gal;Tri_rep;Tri_res;Tri_sp;Typ_ang;Typ_dom;Ulm_min;Ver_ana;Xan_spi;Xan_stu;Zan_con;Margen
11;440742;4158281;1080;1;2;Guadalbullon;Ri 11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;134,67;5;440742;4158281;1080;1;2;12,56;0,64;8,322;7,714;-37,2;11;0,488;78,36;2,05;0,31;0,416;0,715536;0;0;53;12;35;Franco Arcillo Arenosa;2,41;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
12;441108;4158332;1040;1;2;Guadalbullon;Ri 12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;42,52;11;441108;4158332;1040;1;2;12,996;0,5928;10,004;7,71;-37,18;12,2;0,457;95,08;2,19;0,29;0,385;0,744312;0;0;80;0;20;Franco Arenosa;3,78;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
13;441108;4158332;1040;1;2;Guadalbullon;Ri 13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7,088;9;441108;4158332;1040;1;2;13,042;0,608;10,448;7,732;-38,26;11,8;0,469;99,4;2,13;0,3;0,395;0,799248;0;0;75;5;20;Franco Arenosa;4,19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
14;446677;4166052;660;2;2;Guadalbullon;Ri 14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;57;404,01;4;446677;4166052;660;2;2;15,088;1,075;8,662;7,636;-33,58;15;0,8714;86,4;1,15;0,54;0,699;0,467016;0,1730017;0,0629328;35;15;50;Arcillosa;0,61;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
15;446708;4167898;660;2;2;Guadalbullon;Ri 15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;42,52;4;446708;4167898;660;2;2;15,37;1,0878;5,556;7,712;-37,46;8,4;0,888;55,7;4,886;0,55;0,7068;0,453936;0,2037967;0,0742116;58;17;25;Franco Arcillo Arenosa;3,63;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Izquierda
16;440162;4175171;400;2;2;Guadalbullon;Ri 16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;70,88;4;440162;4175171;400;2;2;14,376;1,918;11,294;7,9;-46,9;2,2;1,5288;111,16;0,65;0,98;1,2468;0,519336;0,1935317;0;75;5;20;Franco Arenosa;2,38;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
17;431501;4203102;259;3;2;Guadalbullon;Ri 17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;21;148,84;5;431501;4203102;259;3;2;18,608;2,5152;7,286;7,374;-20,46;1,4;2,2082;78,52;0,45;1,302;1,635;0,775704;0,2440355;0,2506236;65;10;25;Franco Arcillo Arenosa;1,49;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
18;431501;4203102;259;3;2;Guadalbullon;Ri 18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;21;148,84;6;431501;4203102;259;3;2;18,608;2,5152;7,286;7,374;-20,46;1,4;2,2082;78,52;0,45;1,302;1,635;0,835872;0,2497839;0,2529372;78;2;20;Franco Arenosa;5,14;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
19;431614;4202986;252;3;2;Guadalbullon;Ri 19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;44;311,87;7;431614;4202986;252;3;2;18,53;2,535;6,418;7,594;-31,86;4,8;2,222;69,08;0,45;1,31;1,648;0,885576;0,2257638;0,2824356;65;5;30;Franco Arcillo Arenosa;2,57;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Izquierda
20;431614;4202986;252;3;2;Guadalbullon;Ri 20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;37;262,25;6;431614;4202986;252;3;2;18,53;2,535;6,418;7,594;-31,86;4,8;2,222;69,08;0,45;1,31;1,648;0,885576;0,1962006;0,3217668;70;8;22;Franco Arcillo Arenosa;0,3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Izquierda
21;421843;4171308;1042;1;3;Salado;Ri 21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;141,76;7;421843;4171308;1042;1;3;13,562;0,613;10,584;7,85;-44,34;9;0,479;101,88;2,09;0,3;0,398;0,501024;0;0;68;5;27;Franco Arcillo Arenosa;0,45;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;Izquierda
22;421845;4171368;1937;1;3;Salado;Ri 22;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;177,2;4;421845;4171368;1937;1;3;13,04;0,65;10,51;7,664;-34,66;15,8;0,501;100,04;1,994;0,32;0,422;0,56904;0;0;63;7;30;Franco Arcillo Arenosa;1,18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Izquierda
23;421879;4171389;1033;1;3;Salado;Ri 23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;56,7;5;421879;4171389;1033;1;3;14,488;0,684;10,336;7,838;-43,82;24,2;0,547;101,56;1,83;0,34;0,445;1,345992;0;0;58;7;35;Franco Arcillo Arenosa;0,45;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Izquierda
24;402556;4176523;366;2;3;Salado;Ri 24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;77,96;9;402556;4176523;366;2;3;19,148;4,9976;8,58;7,69;-36,72;0;4,4388;94,24;0,23;2,694;3,2484;0,801864;0,2161147;0,462318;73;5;22;Franco Arcillo Arenosa;0,15;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;Izquierda
25;402556;4176523;366;2;3;Salado;Ri 25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;77,96;11;402556;4176523;366;2;3;19,644;5,004;8,47;7,804;-42,78;4;4,4922;94;0,22;2,7;3,2528;0,67368;0,2501945;0,3431676;80;0;20;Franco Arenosa;0,3;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;Izquierda
26;402556;4176523;366;2;3;Salado;Ri 26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;35,44;5;402556;4176523;366;2;3;19,644;5,004;8,47;7,804;-42,78;4;4,4922;94;0,22;2,7;3,2528;0,652752;0,2495786;0,3185856;80;0;20;Franco Arenosa;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;Izquierda
27;392245;4199214;192;3;3;Salado;Ri 27;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;16;113,4;4;392245;4199214;192;3;3;26,246;6,2588;24,95;7,862;-46,84;-9,6;6,408;314,84;0,16;3,4;4,0682;0,864648;0,1352265;0;68;2;30;Franco Arcillo Arenosa;0,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;Izquierda
28;392245;4199214;192;3;3;Salado;Ri 28;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;36;255,16;5;392245;4199214;192;3;3;26,412;6,2624;23,15;8,064;-57,5;-9;6,4314;292,98;0,16;3,398;4,0704;0,919584;0,1344053;0,0175284;70;5;25;Franco Arcillo Arenosa;0,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;Izquierda
29;390179;4202226;174;3;3;Salado;Ri 29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;99,23;3;390179;4202226;174;3;3;24,556;5,9964;22,706;8,038;-55,68;-13;5,9454;277,56;0,17;3,252;3,8976;0,893424;0,144465;0,0377724;55;10;35;Franco Arcillo Arenosa;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Izquierda
30;390179;4202226;174;3;3;Salado;Ri30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;56,7;4;390179;4202226;174;3;3;24,81;5,9922;22,37;8,418;-75,84;-14,4;5,9706;274,8;0,17;3,25;3,8952;0,73908;0,1413855;0,0432672;70;5;25;Franco Arcillo Arenosa;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Izquierda
31;448889;4246983;738;1;4;Rumblar;Ri 31;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30;212,64;10;448889;4246983;738;1;4;17,52;0,1144;5,956;7,932;-49;3;0,098;62,28;10,198;0,05;0,074;0,472248;0,1354318;0;80;8;12;Franco Arenosa;3,13;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
